RestaurantID,restaurantnameCustom,CountryName,City,Cuisine ,Dateopening,Yearopening,Monthopening,Quarteropening, Monthnames,WeekdayNo,Weekdayname,FinancialMonth,FinancialQuarter,Average_Cost_for_two_in_Dollar,Rating,Has_Table_booking,Has_Online_delivery,Bucket_range,code_for_ range
18435314,Punjabis Veg Grill,India,New Delhi,North Indian,2013-09-21,2013,9,3,September,6,Saturday,6,2,3.6,1,No,No,lessthan 5,1
18378015,Tasty Tandoor,India,New Delhi,North Indian,2016-09-10,2016,9,3,September,6,Saturday,6,2,2.4,1,No,No,lessthan 5,1
18424905,Taste of Spice,India,New Delhi,North Indian,2018-09-25,2018,9,3,September,2,Tuesday,6,2,4.8,1,No,Yes,lessthan 5,1
18180072,Kolcata Bengali Dhaba,India,New Delhi,North Indian,2018-09-06,2018,9,3,September,4,Thursday,6,2,1.2,1,No,No,lessthan 5,1
18415377,Sunil Punjabi Dhaba,India,New Delhi,North Indian,2013-09-17,2013,9,3,September,2,Tuesday,6,2,1.8,1,No,No,lessthan 5,1
18421485,Bikaner Restaurant,India,New Delhi,North Indian,2018-09-03,2018,9,3,September,1,Monday,6,2,1.2,1,No,No,lessthan 5,1
312413,Just In,India,New Delhi,North Indian,2011-09-16,2011,9,3,September,5,Friday,6,2,2.4,1,No,No,lessthan 5,1
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,India,New Delhi,North Indian,2014-09-21,2014,9,3,September,7,Sunday,6,2,1.8,1,No,No,lessthan 5,1
18354644,Shree Bhojnalaya,India,New Delhi,North Indian,2012-09-09,2012,9,3,September,7,Sunday,6,2,1.2,1,No,No,lessthan 5,1
18366001,Baba Ka Dhaba,India,New Delhi,North Indian,2014-09-21,2014,9,3,September,7,Sunday,6,2,2.4,1,No,No,lessthan 5,1
18486845,Kaka Da Dhaba,India,New Delhi,North Indian,2012-09-24,2012,9,3,September,1,Monday,6,2,1.2,1,No,No,lessthan 5,1
18424202,Famous Parantha and Poori Sabzi,India,New Delhi,North Indian,2014-09-20,2014,9,3,September,6,Saturday,6,2,0.6,1,No,No,lessthan 5,1
18472678,Garam Masala,India,New Delhi,North Indian,2013-08-10,2013,8,3,August,6,Saturday,5,2,3.6,1,No,No,lessthan 5,1
18209806,ZaikaEChaap Express,India,New Delhi,North Indian,2010-08-20,2010,8,3,August,5,Friday,5,2,3,1,No,No,lessthan 5,1
18286922,Tandoori Nature,India,New Delhi,North Indian,2017-08-24,2017,8,3,August,4,Thursday,5,2,4.8,1,No,No,lessthan 5,1
18458302,Tinker Koch,India,New Delhi,North Indian,2013-08-15,2013,8,3,August,4,Thursday,5,2,3.6,1,No,No,lessthan 5,1
7362,Vaishno Da Dhaba,India,New Delhi,North Indian,2010-08-24,2010,8,3,August,2,Tuesday,5,2,2.4,1,No,No,lessthan 5,1
18466400,Desi Thaat Amritsari Naan,India,New Delhi,North Indian,2015-08-13,2015,8,3,August,4,Thursday,5,2,3.6,1,No,No,lessthan 5,1
18361779,Haryana Bhojnalaya,India,New Delhi,North Indian,2011-08-24,2011,8,3,August,3,Wednesday,5,2,1.2,1,No,No,lessthan 5,1
18354672,Karol Bagh Ke Chhole Bhature,India,New Delhi,North Indian,2017-08-21,2017,8,3,August,1,Monday,5,2,1.8,1,No,No,lessthan 5,1
18464641,Bala Ji Rasoi,India,New Delhi,North Indian,2012-08-09,2012,8,3,August,4,Thursday,5,2,4.2,1,No,No,lessthan 5,1
18312665,Best Chicken Corner,India,New Delhi,North Indian,2010-08-04,2010,8,3,August,3,Wednesday,5,2,7.8,1,No,No,5 to 10,2
18312572,Avatar Da Dhaba,India,New Delhi,North Indian,2017-08-13,2017,8,3,August,7,Sunday,5,2,2.4,1,No,No,lessthan 5,1
18349241,Curry Man,India,New Delhi,North Indian,2016-08-06,2016,8,3,August,6,Saturday,5,2,2.4,1,No,No,lessthan 5,1
18355121,Delicious Eating Corner,India,New Delhi,North Indian,2013-08-24,2013,8,3,August,6,Saturday,5,2,4.8,1,No,No,lessthan 5,1
18289272,Massis Kitchen,India,New Delhi,North Indian,2014-08-06,2014,8,3,August,3,Wednesday,5,2,2.4,1,No,No,lessthan 5,1
18449949,Roll Junction,India,New Delhi,North Indian,2010-08-08,2010,8,3,August,7,Sunday,5,2,1.8,1,No,No,lessthan 5,1
18451571,Amritsari Naan,India,New Delhi,North Indian,2016-08-03,2016,8,3,August,3,Wednesday,5,2,2.4,1,No,No,lessthan 5,1
18446496,Parantha on Call,India,New Delhi,North Indian,2018-07-26,2018,7,3,July,4,Thursday,4,2,1.2,1,No,No,lessthan 5,1
18357972,Satnaam Foods,India,New Delhi,North Indian,2011-07-18,2011,7,3,July,1,Monday,4,2,3.6,1,No,No,lessthan 5,1
18375383,The Deshi Bites,India,New Delhi,North Indian,2018-07-28,2018,7,3,July,6,Saturday,4,2,6,1,No,No,5 to 10,2
18236975,Syall Kotian Da Dhaba,India,New Delhi,North Indian,2017-07-22,2017,7,3,July,6,Saturday,4,2,6,1,No,No,5 to 10,2
18361767,Jyoti Dhaba,India,New Delhi,North Indian,2011-07-04,2011,7,3,July,1,Monday,4,2,1.8,1,No,No,lessthan 5,1
304610,Sangeeta Dhaba,India,New Delhi,North Indian,2013-07-13,2013,7,3,July,6,Saturday,4,2,3.6,1,No,No,lessthan 5,1
18352268,Little Delhi,India,New Delhi,North Indian,2011-07-13,2011,7,3,July,3,Wednesday,4,2,6,1,No,No,5 to 10,2
18352180,Ok Indian  Chinese Food Corner,India,New Delhi,North Indian,2011-07-03,2011,7,3,July,7,Sunday,4,2,2.4,1,No,No,lessthan 5,1
18354987,Foodies,India,New Delhi,North Indian,2014-07-20,2014,7,3,July,7,Sunday,4,2,4.2,1,No,No,lessthan 5,1
18355147,Star Restaurant,India,New Delhi,North Indian,2014-07-02,2014,7,3,July,3,Wednesday,4,2,1.2,1,No,No,lessthan 5,1
18361206,Punjabi Flavour,India,New Delhi,North Indian,2014-06-16,2014,6,2,June,1,Monday,3,1,1.2,1,No,No,lessthan 5,1
18292467,Anupam Jalpan,India,New Delhi,North Indian,2018-06-23,2018,6,2,June,6,Saturday,3,1,2.4,1,No,No,lessthan 5,1
18378032,Asia,India,New Delhi,North Indian,2010-06-20,2010,6,2,June,7,Sunday,3,1,6,1,No,No,5 to 10,2
18449634,Peshawari Mehel,India,New Delhi,North Indian,2017-06-15,2017,6,2,June,4,Thursday,3,1,4.8,1,No,No,lessthan 5,1
18424902,All About Food,India,New Delhi,North Indian,2015-06-05,2015,6,2,June,5,Friday,3,1,1.2,1,No,No,lessthan 5,1
18421482,Breakfast Hut,India,New Delhi,North Indian,2012-06-10,2012,6,2,June,7,Sunday,3,1,2.4,1,No,No,lessthan 5,1
18425148,Shri Ram Dhaba,India,New Delhi,North Indian,2015-06-18,2015,6,2,June,4,Thursday,3,1,2.4,1,No,No,lessthan 5,1
18410302,The Celiac Kitchen,India,New Delhi,North Indian,2013-06-15,2013,6,2,June,6,Saturday,3,1,6,1,No,No,5 to 10,2
8033,Tip Top Eating Corner,India,New Delhi,North Indian,2018-06-27,2018,6,2,June,3,Wednesday,3,1,1.2,1,No,No,lessthan 5,1
18440429,KD Corner,India,New Delhi,North Indian,2018-06-25,2018,6,2,June,1,Monday,3,1,3.6,1,No,No,lessthan 5,1
18489545,Rajdhani Restaurant,India,New Delhi,North Indian,2012-06-16,2012,6,2,June,6,Saturday,3,1,2.4,1,No,No,lessthan 5,1
18489852,Uttrakhand Hotel,India,New Delhi,North Indian,2017-06-08,2017,6,2,June,4,Thursday,3,1,2.4,1,No,No,lessthan 5,1
18449786,Fresh Fast Food,India,New Delhi,North Indian,2017-06-01,2017,6,2,June,4,Thursday,3,1,1.2,1,No,No,lessthan 5,1
18361771,NIKs Chicken Corner,India,New Delhi,North Indian,2018-06-10,2018,6,2,June,7,Sunday,3,1,3.6,1,No,No,lessthan 5,1
18449667,Taneja Corner,India,New Delhi,North Indian,2015-06-19,2015,6,2,June,5,Friday,3,1,2.4,1,No,No,lessthan 5,1
18017260,Babu Soup Wala,India,New Delhi,North Indian,2011-06-16,2011,6,2,June,4,Thursday,3,1,3.6,1,No,No,lessthan 5,1
18432628,Aloo Bhaji Restaurant,India,New Delhi,North Indian,2012-06-12,2012,6,2,June,2,Tuesday,3,1,6,1,No,No,5 to 10,2
18466429,Pritam Tiffin Service,India,New Delhi,North Indian,2014-06-27,2014,6,2,June,5,Friday,3,1,1.2,1,No,No,lessthan 5,1
